"id","name","bic","email","phone","street","city","zip","country:id"
"res_bank_CBBRLV22XXX","AS BlueOrange Bank","CBBRLV22XXX","info@blueorangebank.com","+371 67 031 333","Smilšu iela 6","Rīga","LV-1050","base.lv"
"res_bank_AIZKLV22XXX","ABLV Bank, AS","AIZKLV22XXX","info@ablv.com","+371 6777 5222 ","Elizabetes iela 23","Rīga","LV-1010","base.lv"
"res_bank_RIKOLV2XXXX","Luminor Bank AS","RIKOLV2XXXX","info@luminor.lv","+371 67 17 1880","Skanstes iela 12","Rīga","LV-1013","base.lv"
"res_bank_LATCLV22XXX","AS Expobank","LATCLV22XXX","info@expobank.eu","(+371) 67043510","Kr. Valdemāra iela 19","Rīga","LV-1010","base.lv"
"res_bank_PRTTLV22XXX","AS ""PrivatBank""","PRTTLV22XXX","welcome@privatbank.lv","8 000 15 15","Muitas iela 1","Rīga","LV-1134","base.lv"
"res_bank_UNLALV2XXXX","AS ""SEB banka""","UNLALV2XXXX","info@seb.lv","(+371) 26668777","Meistaru iela 1","Valdlauči","LV-1076","base.lv"
"res_bank_MULTLV2XXXX","AS ""Meridian Trade Bank""","MULTLV2XXXX","info@mtbank.eu","+371 67019393","Elizabetes iela 57","Rīga","LV-1772","base.lv"
"res_bank_HABALV22XXX","""Swedbank"" AS","HABALV22XXX","info@swedbank.lv","67 444 444","Balasta dambis 15","Rīga","LV-1048","base.lv"
"res_bank_BLOILV21XXX","Sabiedrība ar ierobežotu atbildību ""BalticPay Corporation""","BLOILV21XXX","management@balticpay.eu","+371 67704993","Zigfrīda Annas Meierovica bulvāris 18","Rīga","LV-1050","base.lv"
"res_bank_LLBBLV2XXXX","Signet Bank, AS","LLBBLV2XXXX","info@bankm2m.com","+371 67080000","Antonijas iela 3","Rīga","LV-1010","base.lv"
"res_bank_PARXLV22XXX","AS ""Citadele banka""","PARXLV22XXX","info@citadele.lv","67010000*","Republikas laukums 2A","Rīga","LV-1010","base.lv"
"res_bank_BLIBLV22XXX","AS “Baltic International Bank”","BLIBLV22XXX","info@bib.eu","(+371) 6700 0444","Grēcinieku iela 6","Rīga","LV-1050","base.lv"
