"id","code","name","period","xray","parent_id:id"
"hr_job_hazard_1","1","Ķīmiskie faktori",,,
"hr_job_hazard_1_1","1.1.","Metāli un metaloīdi",,,"hr_job_hazard_1"
"hr_job_hazard_1_1_1","1.1.1.","Alumīnijs un tā savienojumi",1,1,"hr_job_hazard_1_1"
"hr_job_hazard_1_1_2","1.1.2.","Antimons un tā savienojumi",1,1,"hr_job_hazard_1_1"
"hr_job_hazard_1_1_3","1.1.3.","Arsēns un tā savienojumi",1,1,"hr_job_hazard_1_1"
"hr_job_hazard_1_1_4","1.1.4.","Bārijs un tā savienojumi",1,1,"hr_job_hazard_1_1"
"hr_job_hazard_1_1_5","1.1.5.","Berilijs un tā savienojumi",1,1,"hr_job_hazard_1_1"
"hr_job_hazard_1_1_6","1.1.6.","Cinks un tā savienojumi",1,1,"hr_job_hazard_1_1"
"hr_job_hazard_1_1_7","1.1.7.","Dzīvsudrabs un tā savienojumi",1,0,"hr_job_hazard_1_1"
"hr_job_hazard_1_1_8","1.1.8.","Fosfors un tā savienojumi",,,"hr_job_hazard_1_1"
"hr_job_hazard_1_1_8_1","1.1.8.1.","Dzeltenais fosfors un tā savienojumi",3,1,"hr_job_hazard_1_1_8"
"hr_job_hazard_1_1_8_2","1.1.8.2.","Sarkanais fosfors un tā savienojumi",1,0,"hr_job_hazard_1_1_8"
"hr_job_hazard_1_1_9","1.1.9.","Hroms un hromskābe, to savienojumi un sakausējumi",1,1,"hr_job_hazard_1_1"
"hr_job_hazard_1_1_10","1.1.10.","Kadmijs un tā savienojumi",1,1,"hr_job_hazard_1_1"
"hr_job_hazard_1_1_11","1.1.11.","Kobalts, tā savienojumi; analogi",,,"hr_job_hazard_1_1"
"hr_job_hazard_1_1_11_1","1.1.11.1.","Kobalts un tā savienojumi",1,1,"hr_job_hazard_1_1_11"
"hr_job_hazard_1_1_11_2","1.1.11.2.","cirkonijs un tā savienojumi",1,1,"hr_job_hazard_1_1_11"
"hr_job_hazard_1_1_11_3","1.1.11.3.","molibdēns un tā savienojumi",1,1,"hr_job_hazard_1_1_11"
"hr_job_hazard_1_1_11_4","1.1.11.4.","titāns un tā savienojumi",1,1,"hr_job_hazard_1_1_11"
"hr_job_hazard_1_1_11_5","1.1.11.5.","vanādijs un tā savienojumi",1,1,"hr_job_hazard_1_1_11"
