"id","code","name","active"
"hr_profession_0110_01","0110 01","ĢENERĀLLEITNANTS/ VICEADMIRĀLIS (Jūras spēkos)",0
"hr_profession_0110_02","0110 02","ĢENERĀLMAJORS/ KONTRADMIRĀLIS (Jūras spēkos)",0
"hr_profession_0110_03","0110 03","Brigādes ĢENERĀLIS/ Flotiles ADMIRĀLIS (Jūras spēkos)",0
"hr_profession_0110_04","0110 04","PULKVEDIS/ Jūras KAPTEINIS (Jūras spēkos)",0
"hr_profession_0110_05","0110 05","PULKVEŽLEITNANTS/ KOMANDKAPTEINIS (Jūras spēkos)",0
"hr_profession_0110_06","0110 06","MAJORS/ KOMANDLEITNANTS (Jūras spēkos)",0
"hr_profession_0110_07","0110 07","KAPTEINIS/ KAPTEIŅLEITNANTS (Jūras spēkos)",0
"hr_profession_0110_08","0110 08","VIRSLEITNANTS",0
"hr_profession_0110_09","0110 09","LEITNANTS",0
"hr_profession_0210_01","0210 01","Augstākais VIRSSERŽANTS/ Augstākais BOCMANIS (Jūras spēkos)",0
"hr_profession_0210_02","0210 02","Galvenais VIRSSERŽANTS/ Galvenais BOCMANIS (Jūras spēkos)",0
"hr_profession_0210_03","0210 03","Štāba VIRSSERŽANTS/ Štāba BOCMANIS (Jūras spēkos)",0
"hr_profession_0210_04","0210 04","VIRSSERŽANTS/ BOCMANIS (Jūras spēkos)",0
"hr_profession_0210_05","0210 05","SERŽANTS",0
"hr_profession_0210_06","0210 06","KAPRĀLIS",0
"hr_profession_0310_01","0310 01","DIŽKAREIVIS/ DIŽMATROZIS (Jūras spēkos)",0
"hr_profession_0310_02","0310 02","Vecākais ZEMESSARGS",0
"hr_profession_0310_03","0310 03","KAREIVIS/ MATROZIS (Jūras spēkos)",0
"hr_profession_0310_04","0310 04","ZEMESSARGS",0
"hr_profession_1111_01","1111 01","Valsts PREZIDENTS",0
"hr_profession_1111_02","1111 02","Saeimas PRIEKŠSĒDĒTĀJS",0
"hr_profession_1111_03","1111 03","Saeimas PRIEKŠSĒDĒTĀJA BIEDRS",0
"hr_profession_1111_04","1111 04","Saeimas SEKRETĀRS",0
"hr_profession_1111_05","1111 05","Saeimas SEKRETĀRA BIEDRS",0
"hr_profession_1111_06","1111 06","Saeimas komisijas PRIEKŠSĒDĒTĀJS",0
"hr_profession_1111_07","1111 07","Saeimas komisijas PRIEKŠSĒDĒTĀJA BIEDRS",0
"hr_profession_1111_08","1111 08","Saeimas komisijas SEKRETĀRS",0
"hr_profession_1111_09","1111 09","Saeimas frakcijas PRIEKŠSĒDĒTĀJS",0
"hr_profession_1111_10","1111 10","Saeimas DEPUTĀTS",0
"hr_profession_1111_12","1111 12","Saeimas DEPUTĀTA PALĪGS",0
"hr_profession_1111_13","1111 13","Parlamentārais SEKRETĀRS",0
"hr_profession_1111_17","1111 17","Ministru PREZIDENTS",0
"hr_profession_1111_18","1111 18","Ministru PREZIDENTA BIEDRS",0
"hr_profession_1111_19","1111 19","MINISTRS",0
"hr_profession_1111_20","1111 20","Īpašu uzdevumu MINISTRS",0
"hr_profession_1111_21","1111 21","Republikas pilsētas pašvaldības domes DEPUTĀTS",0
"hr_profession_1111_22","1111 22","Novada pašvaldības domes DEPUTĀTS",0
"hr_profession_1111_23","1111 23","Pašvaldības domes PRIEKŠSĒDĒTĀJS",0
